gene_callers_id	gene_name	percent_identity	supporting_consensus	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
5258	Ribosomal_S6	96.8	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans
5261	Ribosomal_L9_C	95.9	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
11709	Ribosomal_L13	96.4	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
11710	Ribosomal_S9	99.2	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp002847505
52407	Ribosomal_L1	95.1	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
52413	Ribosomal_S7	100.0	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
128405	Ribosomal_L21p	98.0	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp002847505
147788	Ribosomal_L20	99.1	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp002847505
213771	Ribosomal_S2	96.9	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
269485	Ribosomal_L17	99.1	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
269488	Ribosomal_S11	100.0	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
269494	Ribosomal_L27A	93.8	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
269498	Ribosomal_L6	90.3	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
269499	Ribosomal_S8	91.3	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
269501	ribosomal_L24	94.2	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
269505	Ribosomal_L16	98.4	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
269506	Ribosomal_S3_C	98.1	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
269507	Ribosomal_L22	99.0	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
269509	Ribosomal_L2	93.8	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
269511	Ribosomal_L4	92.4	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp002847505
269512	Ribosomal_L3	92.1	True	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
330818	Ribosomal_S20p	91.8	False	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp002847505
